,CRM - ??????????? ??????????,,,,??????????? ??? ???? ? ?? ???? - PB x MSE x Corp ,,,,,,,,,
,,,,,,,,,,,,,,
?,?????????/??????,?????????????? ????,?????????? / ???????,MSE,Corporate,Private Banking,Payroll,Factoring,Cash Management,Trade Finance,KYC,????? ??????????,????????,???????????
1,????????? 1,????????? ? ????,"??????????? ???? ? ????????? ?????? ??????????? (??????, ?????, ???????, ?????????????, DSA, ??????)",+,+,+,,+,+,+,,,,
2,????????? 1,????????? ? ????,???? ?????????????? ?????????? ?? ???,+,+,+,,+,+,+,,,,
3,????????? 1,????????? ? ????,"???? ???????????? ????, ???, ??????????? ????",+,+,,,+,+,+,,,,
4,????????? 1,????????? ? ????,?????????????? ???????? ??????,+,+,+,,+,+,+,,,,
5,????????? 1,????????? ? ????,??????? ???????? ???? ????? ????????????,+,+,+,,+,+,+,,,,
6,????????? 1,???????? ??????,???????? ??????? ???????? ??? ??????? / ?????????,+,+,+,,+,+,+,,,,
7,????????? 1,???????? ??????,???????? ???????? ????? ?? Excel ? ?????? ????????,+,+,+,,+,+,+,,,,
8,????????? 1,???????? ??????,????????????? ?????????? ??????? ????? ????????????,+,+,+,,+,+,+,,,,
9,????????? 1,???????? ??????,?????????????? ?????????? ????? ?? ????????,+,-,-,,+,+,+,,,,
10,????????? 1,???????? ??????,???????? ????????? ??????????? ???????,+,+,-,,+,+,+,,,,
11,????????? 1,???????? ??????,?????????? ???????? ?? ??????? ??????? ? ????????,+,+,+,,+,+,+,,,,
12,????????? 1,???????? ??????,????? ?? ??????????? ????????,+,+,-,,,+,+,,,,
13,????????? 1,???????? ??????,????????? ???????? ? ????????????? ?????????? ???,+,+,-,,+,+,+,,,,
14,????????? 1,??????????,??????????? ???????,+,+,+,,+,+,+,,,,
15,????????? 1,??????????,??????????? ??????,+,+,+,,+,+,+,,,,
16,????????? 1,??????????,??????????? ???? ?????????,+,+,,,+,+,+,,,,
17,????????? 1,??????????,?????????? ????? ? ???????????,+,+,+,,+,+,+,,,,
18,????????? 1,??????????,???????????? ??????????? ?? ????????,+,+,+,,+,+,+,,,,
19,????????? 1,??????? ??????,????????????? ?????? ??????,+,+,+,,+,+,+,,,,
20,????????? 1,??????? ??????,???? ?????? ???????,+,+,+,,+,+,+,,,,
21,????????? 1,??????? ??????,???? ?????? ?????? ???????,+,+,+,,+,+,+,,,,
22,????????? 1,??????? ??????,???????? SLA ?? ????????? ????,+,+,,,+,+,+,,,,
23,????????? 1,??????? ??????,???????? ??????? ?? ?????? ?????,+,+,,,+,+,+,,,,
24,????????? 1,?????????? (?1),???? ?? ???????,+,+,+,,+,+,+,,,,
25,????????? 1,?????????? (?1),????????? ?? ???????,+,+,+,,+,+,+,,,,
26,????????? 1,?????????? (?1),????????? ?? ???????????,+,+,+,,+,+,+,,,,
27,????????? 1,?????????? (?1),????????? ?? ??????????????,+,+,,,+,+,+,,,,
28,????????? 1,?????????? (?1),??????? ???? ????????? ????,+,+,,,+,+,+,,,,
29,????????? 1,?????????? (?1),??????? ?????? ?? ??????? ??????,+,-,-,,+,+,+,,,,
30,????????? 1,?????????? (?1),?????????? ???????? ??????,+,+,,,+,+,+,,,,
31,????????? 1,?????????? (?1),?????????????????? ??????????? ?? ???????????,+,+,,,+,+,+,,,,
32,????????? 1,?????????????,?????? ????? ???????? ?????????????,+,+,,,+,+,+,,,,
33,????????? 1,?????????????,???????????? ????????,+,+,,,+,+,+,,,,
34,????????? 1,?????????????,??????? ?????? ???????,+,+,,,+,+,+,,,,
35,????????? 1,?????????????,?????????/??? ?????????? ??? ???????????,+,+,-,,+,+,+,,,,
36,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? ??????? 360°,?????? ???????? ??????? ?? ???,+,+,,,,,,,,,
37,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? ??????? 360°,??????? ???? ??????????????,+,+,,,,,,,,,
38,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? ??????? 360°,??????? ????? ???????,+,+,,,,,,,,,
39,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? ??????? 360°,??????? ????????? ???????,+,+,,,,,,,,,
40,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? ??????? 360°,????????? ?????????? ????,+,+,,,,,,,,,
41,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? ??????? 360°,??????? ????? ??????????,+,+,,,,,,,,,
42,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? ??????? 360°,??????? ??????? ? ?????????,+,+,,,,,,,,,
43,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? ??????? 360°,??????? ?????????????? ????? ??? ?????? ???????????,+,+,,,,,,,,,
44,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,????????? ?????????????? KPI,+,+,,,,,,,,,
45,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,????????? KPI ?? ??????????????,+,+,,,,,,,,,
46,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,???? ???????? ???????????,+,+,,,,,,,,,
47,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,?????????????? ?????? ??????????? ???????????,+,+,,,,,,,,,
48,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,??????-?????????? ?????????? KPI,+,+,,,,,,,,,
49,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,KPI: ?????????? ???????,+,+,,,,,,,,,
50,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,KPI: ?????????? ??????,+,+,,,,,,,,,
51,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,KPI: ?????????? ???????????? ?????,+,+,,,,,,,,,
52,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,KPI: ?????????? ???????????? ????????,+,+,,,,,,,,,
53,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,KPI: ????????? ?? ??????,+,+,,,,,,,,,
54,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,KPI: ?????????? ????? ??????,+,+,,,,,,,,,
55,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,??????? ???????????,+,+,,,,,,,,,
